gisjoin,white,black,AAPI,Hisp
G24000307022081,2391,1212,210,173
G24000307022082,2160,92,393,153
G24000307022091,1451,0,73,180
G24000307022092,1016,146,0,68
G24000307022093,1017,271,103,32
G24000307023001,512,0,144,90
G24000307023002,1834,0,45,40
G24000307023003,1362,70,75,68
G24000307023004,1319,0,27,61
G24000307024021,1568,62,39,77
G24000307024022,2721,74,119,568
G24000307024023,1509,15,0,13
G24000307025001,525,179,0,804
G24000307025002,497,277,0,0
G24000307025003,486,1697,72,623
G24000307025004,493,178,0,110
G24000307026011,557,72,14,47
G24000307026012,1288,80,12,46
G24000307026013,750,0,0,0
G24000307026014,806,0,38,20
G24000307026015,877,732,56,113
G24000307026021,1813,325,88,159
G24000307026022,1706,305,17,211
G24000307026023,771,0,47,39
G24000307027011,798,200,86,41
G24000307027012,926,168,152,36
G24000307027013,2036,205,0,80
G24000307027021,1346,227,25,0
G24000307027022,1858,129,34,98
G24000307061011,1200,29,1,21
G24000307061012,1113,217,45,54
G24000307061013,63,654,0,120
G24000307063011,1115,481,0,228
G24000307063012,1066,526,0,112
G24000307063013,691,48,0,0
G24000307063021,1321,46,15,107
G24000307063022,629,0,0,0
G24000307063023,898,77,0,51
G24000307064011,1186,248,161,1326
G24000307064012,845,406,0,2067
G24000307064013,283,420,13,487
G24000307064021,682,195,0,140
G24000307064022,843,820,21,188
G24000307065001,513,656,0,150
G24000307065002,419,256,0,0
G24000307065003,953,176,40,485
G24000307065004,1387,90,0,125
G24000307066001,689,8,0,8
G24000307066002,1351,154,0,115
G24000307066003,391,43,9,9
G24000307066004,957,48,37,0
G24000307066005,25,857,0,595
G24000307067001,4109,586,349,579
G24000307070011,1967,194,0,166
G24000307070012,2226,273,0,11
G24000307070013,1208,222,41,15
G24000307070021,1599,2,0,64
G24000307070022,807,139,0,22
G24000307070023,2092,75,33,79
G24000307080011,2229,78,8,25
G24000307080012,1310,42,31,61
G24000307080041,984,0,0,16
G24000307080042,1913,424,0,62
G24000307080043,1470,469,47,265
G24000307301001,2094,210,0,38
G24000307301002,1782,486,105,124
G24000307301003,3783,563,169,130
G24000307302031,1803,0,61,174
G24000307302032,272,370,16,59
G24000307302033,586,652,66,442
G24000307302034,397,492,127,285
G24000307302041,1389,505,39,56
G24000307302042,1116,1153,223,169
G24000307302043,842,297,12,87
G24000307303001,1638,229,0,297
G24000307303002,1050,51,79,11
G24000307304011,1612,886,68,99
G24000307304012,1688,325,192,323
G24000307304021,870,727,317,94
G24000307304022,1394,289,77,105
G24000307304023,1400,136,14,252
G24000307305021,1203,111,25,1
G24000307305022,756,1134,0,102
G24000307305023,1593,210,282,102
G24000307305041,1158,755,93,199
G24000307305042,1055,1243,101,205
G24000307305043,1614,295,76,162
G24000307305051,1148,1530,299,539
G24000307305052,189,502,134,68
G24000307305061,401,129,19,80
G24000307305062,313,379,239,56
G24000307305063,398,1229,16,244
G24000307306011,1909,0,100,90
G24000307306012,1368,0,0,0
G24000307306013,1198,0,266,364
G24000307306014,1713,0,0,19
G24000307306031,1322,21,0,1
G24000307306032,1282,130,245,0
G24000307306041,2142,0,110,0
G24000307306042,2444,107,35,0
G24000307306043,1753,233,112,27
G24000307307001,1787,28,0,37
G24000307307002,1926,174,11,50
G24000307307003,534,0,0,109
G24000307307004,1890,2,57,22
G24000307307005,539,0,0,0
G24000307308001,2397,3,45,32
G24000307309011,808,0,8,43
G24000307309012,649,230,5,5
G24000307309013,750,15,15,21
G24000307309021,2417,142,34,155
G24000307309022,926,13,15,154
G24000307310021,1856,146,53,102
G24000307310022,798,194,18,43
G24000307310031,801,23,11,162
G24000307310032,1542,33,90,34
G24000307310033,1356,12,0,45
G24000307310041,1115,0,37,119
G24000307310042,2877,88,90,113
G24000307311021,674,0,0,0
G24000307311022,2691,64,66,89
G24000307311023,1863,81,17,66
G24000307311024,1695,27,17,61
G24000307311031,1633,38,164,27
G24000307311032,1537,377,8,184
G24000307311033,998,26,100,0
G24000307311041,2126,153,20,59
G24000307311042,1420,71,63,163
G24000307311051,1434,42,16,8
G24000307311052,1621,16,91,49
G24000307312011,2280,0,21,122
G24000307312012,1222,0,0,15
G24000307312013,790,92,13,0
G24000307312014,1829,0,22,22
G24000307312021,1537,2,0,145
G24000307312022,1005,27,0,0
G24000307312023,1256,96,0,0
G24000307312024,1674,29,0,20
G24000307312025,1444,0,0,0
G24000307312031,973,47,0,0
G24000307312032,1695,0,9,16
G24000307312033,2361,50,56,49
G24000307312034,691,71,18,56
G24000307312035,540,43,15,134
G24000307312041,1679,0,47,28
G24000307312042,1753,180,0,240
G24000307312043,941,93,63,0
G24000307312044,990,2,61,99
G24000307313031,1423,37,0,0
G24000307313032,2038,0,65,40
G24000307313033,1425,17,16,0
G24000307313034,1261,0,8,0
G24000307313061,423,0,0,0
G24000307313062,1156,17,0,0
G24000307313063,1791,0,63,203
G24000307313064,498,0,0,0
G24000307313065,1653,73,0,0
G24000307313071,2191,278,66,54
G24000307313072,1856,74,0,15
G24000307313073,1842,35,0,20
G24000307313081,2278,32,79,48
G24000307313082,1198,0,0,12
G24000307313091,2095,378,15,89
G24000307313092,2021,81,22,111
G24000307313093,941,0,0,0
G24000307313101,1978,2,8,96
G24000307313102,1506,33,114,7
G24000307313103,1237,177,0,134
G24000307313111,1792,107,0,0
G24000307313112,2282,239,87,269
G24000307313113,2702,129,81,129
G24000307401021,1673,251,0,182
G24000307401022,3000,1799,1677,418
G24000307401023,468,0,0,0
G24000307401031,1567,526,260,183
G24000307401032,1426,554,213,207
G24000307401033,590,1009,183,158
G24000307401034,479,535,167,123
G24000307401041,1261,781,348,168
G24000307401042,1105,681,302,123
G24000307401043,588,2484,18,460
G24000307401051,493,1676,138,310
G24000307401052,128,859,55,0
G24000307402011,938,102,54,83
G24000307402012,654,805,64,95
G24000307402013,821,486,361,110
G24000307402014,1492,527,114,754
G24000307402031,2602,469,184,122
G24000307402032,1924,347,52,212
G24000307403031,1766,133,18,90
G24000307403032,1313,317,242,438
G24000307403041,1859,858,176,277
G24000307403042,1066,151,63,17
G24000307403051,692,555,0,273
G24000307403052,1730,3126,209,209
G24000307403053,194,2404,107,468
G24000307403054,302,516,262,121
G24000307404001,1552,3545,34,235
G24000307405001,1520,2388,447,214
G24000307405002,672,510,216,36
G24000307405003,1394,2116,251,322
G24000307406011,0,0,0,0
G24000307406012,196,87,30,48
G24000307406013,369,146,28,97
G24000307406014,1597,584,53,393
G24000307406021,1162,429,93,346
G24000307406022,405,298,47,98
G24000307406031,677,65,48,44
G24000307406032,1023,212,40,310
G24000307407011,995,315,107,83
G24000307407012,1028,398,159,209
G24000307407013,1761,276,79,61
G24000307407021,4938,810,227,197
G24000307407022,1981,393,42,331
G24000307408001,813,97,0,72
G24000307408002,1154,25,83,22
G24000307408003,1637,150,21,211
G24000307409001,742,102,182,296
G24000307409002,1657,830,189,234
G24000307409003,1128,264,29,27
G24000307409004,509,129,24,17
G24000307409005,933,15,57,202
G24000307410001,848,39,14,72
G24000307410002,1030,52,129,33
G24000307501011,360,49,41,51
G24000307501012,797,30,54,0
G24000307501013,231,302,0,144
G24000307501014,1129,402,11,71
G24000307501021,989,216,149,78
G24000307501022,843,259,0,98
G24000307502011,920,53,50,65
G24000307502012,755,899,40,143
G24000307502021,1375,173,52,100
G24000307502022,1107,89,97,97
G24000307502031,913,108,27,92
G24000307503001,726,38,0,40
G24000307503002,1600,15,80,36
G24000307504001,1110,0,78,8
G24000307504002,1439,11,198,38
G24000307504003,505,42,0,11
G24000307504004,357,92,8,34
G24000307508011,636,115,0,2
G24000307508012,1769,97,110,39
G24000307508013,1083,25,0,73
G24000307508014,1691,183,60,105
G24000307508031,967,1067,245,185
G24000307508032,1153,63,0,584
G24000307508033,277,419,0,960
G24000307508034,592,425,142,398
G24000307508035,144,110,12,39
G24000307508041,860,103,286,0
G24000307508042,1790,218,17,241
G24000307509001,463,65,124,48
G24000307509002,548,71,13,159
G24000307509003,1025,43,14,73
G24000307510001,1052,251,0,69
G24000307510002,713,99,29,188
G24000307510003,1204,60,0,31
G24000307511021,1608,974,102,163
G24000307511022,981,53,29,52
G24000307511031,1393,32,0,0
G24000307511032,930,0,12,0
G24000307511033,1784,381,101,45
G24000307511034,607,28,21,0
G24000307512001,1266,31,0,0
G24000307512002,2424,11,108,23
G24000307512003,136,112,11,0
G24000307514001,656,284,22,52
G24000307514002,592,340,56,12
G24000307514003,1191,330,107,66
G24000307515001,492,1353,70,158
G24000307515002,1100,909,62,688
G24000307515003,623,97,0,224
G24000307515004,454,191,186,476
G24000307516001,1691,12,16,0
G24000307516002,1666,113,149,24
G24000307516003,1398,20,15,1
G24000307517001,1299,179,83,39
G24000307517002,1022,70,41,37
G24000309800001,3,5,0,0
G24000309900000,0,0,0,0
G24000504001001,698,326,571,0
G24000504001002,1240,55,0,0
G24000504001003,1282,87,0,0
G24000504002001,794,231,63,62
G24000504002002,1085,138,8,66
G24000504004001,897,41,70,0
G24000504004002,984,99,210,77
G24000504004003,884,163,0,0
G24000504004004,653,0,22,24
G24000504004005,1355,49,54,49
G24000504005001,2349,56,25,76
G24000504006001,351,193,0,8
G24000504006002,716,507,148,0
G24000504006003,787,81,33,9
G24000504007011,836,25,60,49
G24000504007012,644,951,136,165
G24000504007021,1305,357,62,71
G24000504008001,823,741,100,202
G24000504008002,666,57,78,9
G24000504009001,1233,362,42,386
G24000504010001,780,224,26,48
G24000504010002,1416,33,68,0
G24000504011011,145,1491,162,0
G24000504011012,376,652,62,346
G24000504011013,555,1105,340,0
G24000504011014,0,1185,0,0
G24000504011021,119,739,55,27
G24000504012001,157,1106,44,85
G24000504012002,483,1025,33,73
G24000504013011,121,1516,0,36
G24000504013012,83,623,20,23
G24000504013013,284,530,101,113
G24000504013021,146,1658,0,18
G24000504013022,217,543,8,9
G24000504014001,1622,0,53,47
G24000504015031,1578,50,0,0
G24000504015032,1346,18,0,25
G24000504015033,866,23,0,73
G24000504015034,680,47,115,0
G24000504015035,1245,33,320,62
G24000504015041,543,1069,184,38
G24000504015042,782,511,1033,458
G24000504015043,803,427,28,115
G24000504015051,489,561,436,0
G24000504015052,505,937,235,34
G24000504015053,393,440,160,242
G24000504015061,195,827,197,7
G24000504015062,248,1430,413,111
G24000504015063,229,1149,155,0
G24000504015071,87,1090,37,152
G24000504015072,387,913,649,193
G24000504015073,0,468,361,67
G24000504015074,229,591,334,215
G24000504022011,1020,947,55,0
G24000504022012,751,667,61,71
G24000504022021,899,415,73,57
G24000504023021,168,2044,18,68
G24000504023022,233,2346,298,277
G24000504023031,77,961,0,25
G24000504023032,66,907,0,364
G24000504023033,45,1392,0,84
G24000504023034,54,1469,0,0
G24000504023035,147,1083,32,6
G24000504023041,17,1630,0,44
G24000504023042,17,941,0,12
G24000504023043,73,1116,0,0
G24000504023051,448,618,42,69
G24000504023052,50,950,0,5
G24000504023061,175,2392,85,119
G24000504023062,43,1009,125,15
G24000504023071,0,1803,0,89
G24000504023072,184,1807,45,279
G24000504023073,185,2012,49,0
G24000504024031,119,899,0,4
G24000504024032,32,945,0,0
G24000504024041,119,1372,25,16
G24000504024042,14,1736,0,73
G24000504024043,183,1479,12,159
G24000504024051,171,684,0,32
G24000504024052,245,1962,22,309
G24000504024061,13,964,0,0
G24000504024062,108,1548,55,27
G24000504024063,253,2668,236,378
G24000504024071,36,685,59,55
G24000504024072,172,284,119,0
G24000504025031,216,1658,10,0
G24000504025032,228,1192,16,18
G24000504025033,65,1406,0,0
G24000504025041,112,2388,24,60
G24000504025042,430,1218,15,25
G24000504025051,3,924,0,1
G24000504025052,309,2323,92,0
G24000504025061,366,1783,15,55
G24000504025062,222,1886,15,39
G24000504025091,284,2552,344,19
G24000504025092,1424,2144,152,45
G24000504025093,811,767,409,83
G24000504026021,170,679,4,50
G24000504026022,170,1133,0,26
G24000504026031,126,2674,108,190
G24000504026032,321,1872,0,31
G24000504026033,513,968,32,0
G24000504026041,232,1634,43,51
G24000504026042,343,2607,0,134
G24000504026043,124,934,0,0
G24000504031001,349,748,0,4
G24000504031002,304,841,9,29
G24000504032011,164,2100,21,109
G24000504032012,108,605,0,0
G24000504032021,167,1653,22,40
G24000504033001,417,204,40,44
G24000504033002,553,876,76,104
G24000504034011,1163,820,14,101
G24000504034012,690,394,125,22
G24000504034021,902,358,0,680
G24000504034022,478,558,0,24
G24000504034023,239,518,0,107
G24000504034024,354,1090,0,46
G24000504035001,1520,19,54,17
G24000504035002,1796,152,273,43
G24000504035003,1101,46,24,0
G24000504036011,992,0,0,12
G24000504036012,1281,0,0,0
G24000504036013,2071,212,70,19
G24000504036021,1312,581,356,193
G24000504036022,2898,238,203,0
G24000504037011,1642,356,11,0
G24000504037012,614,0,71,13
G24000504037013,358,476,246,185
G24000504037014,1195,63,0,50
G24000504037015,1341,418,124,89
G24000504037021,1672,505,68,61
G24000504037022,1206,917,28,286
G24000504038011,1503,13,150,27
G24000504038021,1421,129,7,14
G24000504038022,1298,26,13,0
G24000504038031,1975,103,77,0
G24000504038032,989,0,59,11
G24000504041011,1103,175,0,0
G24000504041012,1474,1812,361,81
G24000504041021,1236,1536,128,143
G24000504041022,1019,720,288,293
G24000504042011,905,1750,148,424
G24000504042012,575,579,52,0
G24000504042013,831,501,665,70
G24000504042021,726,1319,36,387
G24000504042022,376,802,127,215
G24000504042023,1121,1778,58,269
G24000504042024,242,661,348,624
G24000504044021,1107,36,44,13
G24000504044022,1401,684,221,134
G24000504044023,2006,283,58,127
G24000504044031,686,465,96,200
G24000504044032,1597,1610,255,94
G24000504044041,1114,524,269,148
G24000504044042,1777,505,67,119
G24000504045011,1501,496,19,159
G24000504045012,730,123,15,201
G24000504045013,628,68,0,68
G24000504045014,1159,1163,135,226
G24000504045021,836,495,97,234
G24000504045022,433,49,64,72
G24000504045023,520,657,0,544
G24000504046001,1856,9,35,61
G24000504046002,710,7,7,0
G24000504048001,961,29,37,35
G24000504048002,686,152,0,34
G24000504049001,1794,159,84,17
G24000504049002,1157,0,57,83
G24000504049003,743,24,154,0
G24000504050001,2570,0,0,88
G24000504050002,1737,105,80,11
G24000504060001,1423,15,26,0
G24000504060002,819,2,0,72
G24000504060003,1445,0,43,34
G24000504060004,1624,65,14,11
G24000504070011,1426,26,15,25
G24000504070012,1308,60,107,28
G24000504070021,1971,16,180,30
G24000504070022,1950,18,32,70
G24000504070023,1477,19,10,12
G24000504081001,1127,0,17,0
G24000504081002,586,38,70,0
G24000504081003,1751,32,0,162
G24000504081004,1586,102,292,14
G24000504082001,788,16,34,33
G24000504082002,843,39,22,28
G24000504083021,724,0,141,0
G24000504083022,1533,0,567,44
G24000504083031,1891,115,95,44
G24000504083032,1129,10,67,15
G24000504083041,2494,29,361,76
G24000504083042,722,120,168,0
G24000504083043,920,0,40,56
G24000504084001,669,13,51,18
G24000504085021,2575,83,148,34
G24000504085022,1108,0,55,20
G24000504085023,1050,0,82,108
G24000504085031,1168,261,231,123
G24000504085032,648,402,182,142
G24000504085051,1698,52,264,20
G24000504085052,1295,145,208,185
G24000504085061,974,456,230,644
G24000504085062,1058,843,132,99
G24000504085071,781,337,783,104
G24000504085072,996,602,114,517
G24000504085073,1000,273,763,10
G24000504086011,1271,0,50,0
G24000504086012,727,24,29,28
G24000504086013,726,0,178,0
G24000504086014,765,37,123,29
G24000504086021,783,5,224,124
G24000504086022,840,15,92,15
G24000504087021,1226,61,110,6
G24000504087022,916,8,22,37
G24000504087031,1133,0,87,0
G24000504087032,1710,249,22,58
G24000504087033,780,11,98,0
G24000504087034,1539,45,211,25
G24000504087041,1638,0,578,26
G24000504087042,1769,23,376,48
G24000504087043,885,0,199,82
G24000504088001,881,124,134,55
G24000504088002,1013,0,82,0
G24000504089001,1109,218,69,27
G24000504089002,1118,58,76,9
G24000504101001,730,0,0,0
G24000504101002,631,0,48,14
G24000504101003,1879,81,0,40
G24000504101004,1723,14,77,26
G24000504102001,1648,8,49,0
G24000504102002,1501,0,147,11
G24000504102003,1311,0,42,32
G24000504111011,2165,36,21,23
G24000504111021,846,0,0,0
G24000504111022,537,26,0,9
G24000504111023,1436,0,8,63
G24000504112011,1092,0,0,30
G24000504112012,680,0,5,0
G24000504112013,583,0,0,0
G24000504112014,744,31,8,17
G24000504112021,1362,0,39,7
G24000504112022,1032,54,59,31
G24000504112023,783,86,10,0
G24000504113021,2483,369,493,140
G24000504113031,740,506,307,193
G24000504113032,1248,36,94,0
G24000504113033,1239,215,144,21
G24000504113034,867,0,0,45
G24000504113061,813,74,556,0
G24000504113062,1852,363,262,57
G24000504113063,1176,431,44,0
G24000504113071,1222,380,284,127
G24000504113072,1197,107,400,10
G24000504113081,876,177,95,0
G24000504113082,412,50,49,15
G24000504113083,1431,44,110,24
G24000504113091,1597,0,0,33
G24000504113092,2852,219,481,41
G24000504113093,1714,536,849,110
G24000504114041,2078,195,317,71
G24000504114042,926,6,11,0
G24000504114061,1540,46,11,0
G24000504114062,1355,38,19,49
G24000504114063,908,105,105,48
G24000504114071,865,243,174,0
G24000504114072,3256,31,97,222
G24000504114073,1175,410,81,20
G24000504114074,1648,1092,311,0
G24000504114075,792,238,107,0
G24000504114081,477,29,112,56
G24000504114082,982,334,275,258
G24000504114083,593,20,40,17
G24000504114091,947,104,191,0
G24000504114092,1591,194,32,11
G24000504114093,1353,455,79,191
G24000504114101,794,113,177,60
G24000504114102,1439,84,78,0
G24000504114103,1082,392,445,58
G24000504201001,1492,0,0,0
G24000504201002,1109,0,257,11
G24000504201003,841,64,19,10
G24000504202001,1076,20,0,157
G24000504202002,882,90,24,29
G24000504203011,1665,284,21,193
G24000504203021,569,19,0,188
G24000504203022,1241,172,34,163
G24000504203031,1280,5,12,4
G24000504204011,1649,168,0,0
G24000504204012,1285,784,394,0
G24000504204013,623,0,0,53
G24000504204014,795,208,0,61
G24000504204021,1066,0,13,115
G24000504204022,713,52,53,15
G24000504205001,1593,82,0,198
G24000504205002,875,72,220,341
G24000504206001,1908,112,0,239
G24000504206002,719,196,0,17
G24000504206003,935,8,119,0
G24000504207011,2284,176,100,309
G24000504207021,1539,144,123,55
G24000504208001,642,96,0,178
G24000504208002,1011,0,40,20
G24000504208003,955,9,58,26
G24000504209001,1302,159,0,171
G24000504209002,809,37,0,14
G24000504209003,831,248,0,0
G24000504210001,1468,212,0,17
G24000504211011,1345,110,0,204
G24000504211012,959,348,0,73
G24000504211021,1282,26,24,80
G24000504211022,737,170,8,17
G24000504212001,909,20,14,10
G24000504212002,594,0,0,8
G24000504213001,214,311,126,0
G24000504213002,128,772,41,0
G24000504213003,286,798,8,8
G24000504301011,214,931,204,1332
G24000504301012,1070,105,13,583
G24000504301041,866,140,0,166
G24000504301042,1364,48,146,174
G24000504302001,522,95,36,0
G24000504302002,930,118,146,45
G24000504302003,552,235,34,98
G24000504303001,1096,335,96,79
G24000504303002,504,373,0,315
G24000504303003,654,64,8,375
G24000504303004,385,947,7,110
G24000504304001,1021,12,0,382
G24000504304002,1129,87,2,4
G24000504304003,1358,217,108,55
G24000504306001,1414,57,41,50
G24000504306002,677,73,6,15
G24000504307001,766,0,135,15
G24000504307002,1683,404,325,54
G24000504307003,1917,0,52,35
G24000504308001,1119,33,105,4
G24000504308002,637,55,97,16
G24000504308003,1087,21,25,6
G24000504309001,1215,451,498,28
G24000504309002,185,212,704,96
G24000504309003,853,373,345,87
G24000504401001,1158,0,210,117
G24000504401002,1033,118,0,0
G24000504401003,661,122,53,48
G24000504401004,846,157,78,31
G24000504402001,539,200,46,21
G24000504402002,1112,268,27,16
G24000504403001,1003,545,285,120
G24000504404001,944,240,0,93
G24000504404002,626,138,7,177
G24000504404003,588,644,0,41
G24000504404004,787,135,0,0
G24000504405001,1833,244,146,108
G24000504405002,512,157,0,13
G24000504406001,1551,438,243,38
G24000504407011,373,701,218,1038
G24000504407012,1376,1339,54,378
G24000504407013,346,1157,203,19
G24000504407021,1378,618,378,228
G24000504407022,1470,641,110,15
G24000504408001,1670,911,648,52
G24000504409001,510,793,159,7
G24000504409002,774,970,202,202
G24000504410001,622,1119,0,1
G24000504410002,170,1351,0,27
G24000504411011,793,114,22,0
G24000504411012,636,402,0,171
G24000504411021,417,385,18,26
G24000504411022,661,164,0,7
G24000504411023,610,199,0,237
G24000504411024,1316,618,22,122
G24000504501001,1195,27,54,49
G24000504501002,1160,0,0,81
G24000504501003,1029,85,0,2
G24000504502001,1164,10,0,127
G24000504502002,823,0,0,0
G24000504502003,994,109,0,34
G24000504503001,1783,92,49,57
G24000504503002,888,102,0,11
G24000504504001,685,17,22,18
G24000504504002,1515,20,33,37
G24000504505011,805,414,0,8
G24000504505012,1348,129,77,48
G24000504505013,1013,79,66,18
G24000504505031,350,614,0,0
G24000504505032,1365,1176,110,389
G24000504505033,556,1373,0,332
G24000504505041,388,94,0,44
G24000504505042,879,1841,52,45
G24000504505043,497,1242,0,133
G24000504508001,585,77,39,51
G24000504508002,1401,1048,0,275
G24000504508003,165,52,0,40
G24000504509001,1362,191,1,11
G24000504509002,2100,267,0,10
G24000504510001,936,4,0,23
G24000504510002,690,55,0,3
G24000504511001,953,1046,60,72
G24000504512001,1284,202,49,41
G24000504512002,1916,9,0,8
G24000504513001,1950,559,85,284
G24000504513002,820,111,0,0
G24000504514011,815,920,68,294
G24000504514012,253,1012,479,97
G24000504514021,742,364,0,16
G24000504514022,439,413,34,0
G24000504514023,1461,1388,13,738
G24000504515001,994,614,0,0
G24000504515002,571,518,0,0
G24000504515003,878,369,0,0
G24000504516001,892,17,56,11
G24000504516002,1078,83,22,16
G24000504517011,1372,323,69,121
G24000504517012,1230,237,27,20
G24000504517021,888,0,0,0
G24000504517022,935,0,3,6
G24000504518011,610,0,0,0
G24000504518012,1863,0,36,15
G24000504518013,1663,90,22,0
G24000504518014,837,443,0,15
G24000504518021,1101,0,37,0
G24000504518022,948,9,8,10
G24000504518023,1416,74,103,26
G24000504518031,1325,463,48,62
G24000504518032,1883,178,13,36
G24000504519001,491,141,0,0
G24000504519002,698,0,0,0
G24000504519003,1113,10,0,0
G24000504520001,824,9,39,0
G24000504520002,1462,160,0,21
G24000504521001,1392,187,0,119
G24000504521002,699,66,0,72
G24000504521003,571,0,0,0
G24000504523001,738,197,30,437
G24000504523002,1169,155,24,63
G24000504524001,1037,39,0,0
G24000504524002,1891,198,68,0
G24000504525001,687,10,0,42
G24000504525002,1766,95,37,214
G24000504525003,505,0,0,0
G24000504901001,1280,13,109,78
G24000504901002,710,53,33,37
G24000504901003,1550,2,7,25
G24000504902001,870,4,27,57
G24000504902002,819,0,117,0
G24000504902003,674,114,59,19
G24000504903011,1803,159,168,61
G24000504903012,1715,153,294,334
G24000504903013,1181,679,8,171
G24000504903021,797,147,158,22
G24000504903022,2601,503,136,149
G24000504904001,1192,21,31,29
G24000504904002,458,47,0,10
G24000504905001,850,0,0,0
G24000504905002,1436,25,107,0
G24000504905003,1160,9,30,33
G24000504906011,1123,0,57,52
G24000504906012,802,55,129,25
G24000504906021,1026,7,11,134
G24000504906022,1258,20,223,51
G24000504906031,1165,39,137,60
G24000504906032,561,22,19,67
G24000504906051,1534,441,100,119
G24000504906052,1559,720,185,130
G24000504907011,1634,75,0,5
G24000504907031,1351,138,45,18
G24000504907032,1078,195,111,69
G24000504908001,1298,12,48,9
G24000504908002,1947,39,110,50
G24000504909001,1368,212,32,103
G24000504909002,1584,346,81,155
G24000504909003,309,74,0,84
G24000504910001,790,66,64,80
G24000504910002,1237,0,0,36
G24000504911001,884,395,72,24
G24000504911002,912,597,84,69
G24000504911003,867,0,68,17
G24000504912011,758,83,42,8
G24000504912012,626,50,35,30
G24000504912021,837,277,38,26
G24000504912022,583,30,24,32
G24000504913001,680,550,126,0
G24000504913002,595,1062,277,200
G24000504914011,219,672,22,0
G24000504914012,319,1595,0,0
G24000504914013,120,2789,0,13
G24000504914021,869,690,1,0
G24000504914022,287,1116,98,0
G24000504915001,673,236,145,21
G24000504915002,640,45,125,44
G24000504915003,717,332,270,348
G24000504916001,340,355,8,21
G24000504916002,835,117,16,57
G24000504916003,672,606,9,49
G24000504917011,606,367,0,0
G24000504917012,779,466,190,307
G24000504917013,1052,38,63,38
G24000504919001,871,41,17,44
G24000504919002,688,20,44,89
G24000504920011,628,122,45,53
G24000504920012,460,50,26,11
G24000504920021,678,135,10,0
G24000504920022,909,91,0,13
G24000504920023,331,542,0,108
G24000504920024,945,61,0,30
G24000504921011,597,1,0,15
G24000504921012,507,382,44,167
G24000504921013,636,0,24,48
G24000504921014,882,158,14,32
G24000504921021,804,27,24,138
G24000504921022,879,182,18,6
G24000504922001,1189,130,0,45
G24000504922002,1420,574,179,126
G24000504922003,900,221,17,10
G24000504923001,1334,7,0,54
G24000504923002,1701,559,19,258
G24000504924011,122,1646,11,59
G24000504924012,240,1141,242,25
G24000504924021,509,2204,379,56
G24000504924022,1600,1467,42,172
G24000504925001,1769,593,250,162
G24000504925002,161,161,0,0
G24000504926001,41,48,4,9
G24000504926002,802,166,199,0
G24000504926003,1343,858,250,16
G24000509800001,0,0,0,0
G24000509801001,0,0,0,0
