geoid,Designated
24510030100,1
24510040100,1
24510070400,1
24510080200,1
24510080400,1
24510080700,1
24510080800,1
24510090800,1
24510100100,1
24510120500,1
24510130200,1
24510130300,1
24510140200,1
24510140300,1
24510150100,1
24510150400,1
24510150500,1
24510150600,1
24510160400,1
24510160500,1
24510170200,1
24510180100,1
24510180300,1
24510200100,1
24510200200,1
24510210100,1
24510230300,1
24510250203,1
24510250204,1
24510250205,1
24510250207,1
24510250301,1
24510250401,1
24510250500,1
24510260404,1
24510260501,1
24510260605,1
24510260700,1
24510270903,1
24510271600,1
24510271700,1
24510280500,1
