geoid,CSA,povrate,AfAmPct_numeric,HighPov_numeric,sales_hh,permit_hh,agg_hh,res_hh,comm_hh,CRA_hh,pub_hh,miss_hh
24510010100,Canton,0.10467042,1,0,145269.8906,23496.61328,223742.1875,202331.25,21334.40234,1062.24353,68.47015381,1573.599976
24510010200,Patterson Park North & East,0.1062425,1,0,119738.1406,22469.5918,183023.6406,179666.0938,1616.826904,196.2757416,1738.69165,4001.024414
24510010300,Canton,0.06010488,1,0,140128.25,14551.25098,202569.1563,194077.1719,7375.579102,246.1583862,1113.696777,2467.841553
24510010400,Canton,0.043529876,1,0,98775.9375,14710.91699,214639.6563,184543.7813,30072.53125,3405.583008,0,609.9317627
24510010500,Fells Point,0.078179695,1,0,109239.0469,12066.16211,178168.9688,174614.4688,3121.011963,471.3168335,430.2477112,1979.035767
24510020100,Fells Point,0.100166023,1,0,109905.2578,10021.8125,151799.5781,149862.9844,1506.103638,140.039444,428.368042,876.9979858
24510020200,Fells Point,0.151835367,1,0,101557.2188,17912.78516,138553.3438,131553.6094,6117.695801,210.759491,880.2526855,729.6862793
24510020300,Fells Point,0.080219492,1,0,68092.40625,315631.9375,176250.9375,94382.41406,80741.66406,2558.536621,1107.083374,2287.275146
24510030100,Harbor East/Little Italy,0.418979406,2,1,17084.31641,22812.74609,63930.42188,20065.07031,42082.67188,876.9388428,1775.673218,553.2449951
24510030200,Harbor East/Little Italy,0.218932256,1,0,75186.5625,160647.0781,279877.0625,30850.75586,248706,4632.848145,286.8150635,322.0701904
24510040100,Downtown/Seton Hill,0.265770435,1,1,248425.625,324266.5938,475072.75,22126.27148,419181.7188,10140.19727,33686.15234,3995.527344
24510040200,Downtown/Seton Hill,0.295977026,1,1,51602.96484,381834.625,210930.4844,171487.75,39425.16797,2601.029785,0,0
24510060100,Patterson Park North & East,0.326769024,1,1,57872.26953,41040.38281,82122.74219,80950.74219,909.6390381,167.3596649,261.2685547,1628.336914
24510060200,Patterson Park North & East,0.23708111,1,0,67102.08594,9704.632813,99978.88281,99403.46875,447.0572205,151.2775879,127.4573593,2699.474854
24510060300,Patterson Park North & East,0.226006195,1,0,70501.45313,14945.48828,118572.1484,107886.1406,9002.97168,295.6577148,1680.793091,5947.516602
24510060400,Oldtown/Middle East,0.221617416,2,0,65258.45313,446386.4375,117172.875,101421.0156,13307.91309,34.48275757,2443.426758,3413.261475
24510070100,Madison/East End,0.358805031,2,1,5432.17334,2146.97998,10660.0498,10045.7168,613.7734985,93.30839539,0,1077.954956
24510070200,Madison/East End,0.436671078,3,1,9804.621094,5652.543945,19061.37695,18415.10742,645.5250244,124.1030655,0,1757.176147
24510070300,Madison/East End,0.537974656,3,1,36599.70313,154604.7969,67102.88281,29284.80273,32867.54297,250,4949.036133,19556.9082
24510070400,Oldtown/Middle East,0.474311233,2,1,9064.592773,325675.8125,144291.3594,130441.6641,13849.20801,78.74617767,0,115560.7109
24510080101,Belair-Edison,0.146863475,2,0,20664.625,9335.786133,53663.96484,47213.13672,2821.341797,229.4555817,3628.106689,4298.468262
24510080102,Belair-Edison,0.278097987,3,1,25337.17578,2262.92627,32394.51367,17585.39258,14805.27441,579.2389526,0,1717.287109
24510080200,Clifton-Berea,0.243348479,3,0,6235.364258,13483.86621,12856.66504,3414.538574,8774.644531,512.6096191,664.1447144,658.6206665
24510080301,Clifton-Berea,0.230369896,3,0,5383.939941,19521.05664,15912.83301,15222.625,674.3491211,170.7246399,14.8347826,55.30817795
24510080302,Clifton-Berea,0.322021663,3,1,4046.105469,2654.07666,98389.60938,11390.5332,85691.89844,146.3781128,1306.158691,1814.302246
24510080400,Clifton-Berea,0.511904776,3,1,4315.437012,24296.32813,13885.58398,7175.929688,0,11.29177952,6709.519043,1072.732544
24510080500,Clifton-Berea,0.326627225,3,1,5772.810547,64333.77734,9654.397461,5672.306641,2091.012939,383.3955078,1888.365234,2068.520508
24510080600,Greenmount East,0.28620249,3,1,6228.704102,17349.08984,29242.66992,13063.19531,14637.78809,224.3276215,1540.342285,14754.31738
24510080700,Greenmount East,0.287337661,3,1,29240.71875,50229.95703,118041.7109,105763.6875,9022.106445,156.7064972,3254.97998,20623.70508
24510080800,Oldtown/Middle East,0.492808491,3,1,27124.02148,71011.03125,141040.25,123296.0313,14967.72656,447.1080627,2773.478516,34394.9375
24510090100,Greater Govans,0.20586735,2,0,13816.22559,2557.766357,30935.51172,30688.05664,165.4454803,29.35995293,81.83558655,4046.211914
24510090200,Northwood,0.111343801,2,0,27971.85156,22388.57227,182282.2031,58007.29297,765.8031616,152.253006,123508.1797,5925.491211
24510090300,The Waverlies,0.238500848,2,0,19329.74414,24677.24219,45982.95703,36481.27344,2744.479736,196.4067688,6755.888672,3201.692627
24510090400,The Waverlies,0.304784417,3,1,20623.31055,4090.510254,20351.88086,8814.168945,11514.0293,3204.114014,0,1798.235718
24510090500,The Waverlies,0.160220996,2,0,8847.527344,12596.72461,24871.79297,17148.01758,3317.935547,484.3604126,4402.655273,1473.778198
24510090600,Midway/Coldstream,0.172209412,3,0,9638.31543,7367.310547,22237.94141,20964.89063,1272.928101,20.21746635,0,3163.298584
24510090700,Midway/Coldstream,0.312866509,3,1,6494.796875,10505.98535,31309.01172,10219.91699,21088.32813,42.28167343,0,14480.37793
24510090800,Midway/Coldstream,0.366909087,3,1,9826.683594,4538.623535,16244.25293,5871.660156,10248.13867,1430.488281,111.5771103,366.8763733
24510090900,Greenmount East,0.25888133,3,1,9723.067383,21903.07422,18678.64258,12424.2666,2869.798828,42.52400589,3384.321777,712.0293579
24510100100,Greenmount East,0.426490068,3,1,5913.124512,6663.446777,14820.36133,9929.711914,316.0430298,65.47618866,4574.214355,1663.09729
24510100200,Oldtown/Middle East,0.431372553,3,1,1717.159058,18847.32422,13606.51953,2720.908447,10461.18066,165.0224152,423.4403381,45.38311005
24510100300,,,2,1,,,,,,,,
24510110100,Midtown,0.215541169,1,0,31790.01563,32216.90039,63821.125,48159.50391,15555.44043,1050.19873,98.14929962,383.9377747
24510110200,Midtown,0.192127466,1,0,37916.14063,50275.32031,76451.07031,33562.375,40819.64063,1623.736694,2056.443604,3851.756836
24510120100,North Baltimore/Guilford/Homeland,0.177444279,1,0,50238.95313,19058.63672,124957.6094,111361.0703,13594.79297,208.1280823,0,504.6347046
24510120201,Greater Charles Village/Barclay,0.214826018,1,0,63282.16797,12206.9082,87661.88281,78143.25781,7364.4375,401.4274902,2148.952637,2047.341797
