gisjoin,white,black,AAPI,Hisp,id
G24000307021005,462,0,0,10,24000307021005
G24000307022041,1754,139,149,137,24000307022041
G24000307022042,1581,53,136,149,24000307022042
G24000307022051,2028,91,19,0,24000307022051
G24000307022052,1150,699,16,30,24000307022052
G24000307022053,1212,0,0,11,24000307022053
G24000307022061,2282,569,53,176,24000307022061
G24000307022062,1137,116,0,89,24000307022062
G24000307022063,1012,342,0,94,24000307022063
G24000307022081,2391,1212,210,173,24000307022081
G24000307022082,2160,92,393,153,24000307022082
G24000307022091,1451,0,73,180,24000307022091
G24000307022092,1016,146,0,68,24000307022092
G24000307022093,1017,271,103,32,24000307022093
G24000307023001,512,0,144,90,24000307023001
G24000307023002,1834,0,45,40,24000307023002
G24000307023003,1362,70,75,68,24000307023003
G24000307023004,1319,0,27,61,24000307023004
G24000307024021,1568,62,39,77,24000307024021
G24000307024022,2721,74,119,568,24000307024022
G24000307024023,1509,15,0,13,24000307024023
G24000307025001,525,179,0,804,24000307025001
G24000307025002,497,277,0,0,24000307025002
G24000307025003,486,1697,72,623,24000307025003
G24000307025004,493,178,0,110,24000307025004
G24000307026011,557,72,14,47,24000307026011
G24000307026012,1288,80,12,46,24000307026012
G24000307026013,750,0,0,0,24000307026013
G24000307026014,806,0,38,20,24000307026014
G24000307026015,877,732,56,113,24000307026015
G24000307026021,1813,325,88,159,24000307026021
G24000307026022,1706,305,17,211,24000307026022
G24000307026023,771,0,47,39,24000307026023
G24000307027011,798,200,86,41,24000307027011
G24000307027012,926,168,152,36,24000307027012
G24000307027013,2036,205,0,80,24000307027013
G24000307027021,1346,227,25,0,24000307027021
G24000307027022,1858,129,34,98,24000307027022
G24000307061011,1200,29,1,21,24000307061011
G24000307061012,1113,217,45,54,24000307061012
G24000307061013,63,654,0,120,24000307061013
G24000307063011,1115,481,0,228,24000307063011
G24000307063012,1066,526,0,112,24000307063012
G24000307063013,691,48,0,0,24000307063013
G24000307063021,1321,46,15,107,24000307063021
G24000307063022,629,0,0,0,24000307063022
G24000307063023,898,77,0,51,24000307063023
G24000307064011,1186,248,161,1326,24000307064011
G24000307064012,845,406,0,2067,24000307064012
G24000307064013,283,420,13,487,24000307064013
G24000307064021,682,195,0,140,24000307064021
G24000307064022,843,820,21,188,24000307064022
G24000307065001,513,656,0,150,24000307065001
G24000307065002,419,256,0,0,24000307065002
G24000307065003,953,176,40,485,24000307065003
G24000307065004,1387,90,0,125,24000307065004
G24000307066001,689,8,0,8,24000307066001
G24000307066002,1351,154,0,115,24000307066002
G24000307066003,391,43,9,9,24000307066003
G24000307066004,957,48,37,0,24000307066004
G24000307066005,25,857,0,595,24000307066005
G24000307067001,4109,586,349,579,24000307067001
G24000307070011,1967,194,0,166,24000307070011
G24000307070012,2226,273,0,11,24000307070012
G24000307070013,1208,222,41,15,24000307070013
G24000307070021,1599,2,0,64,24000307070021
G24000307070022,807,139,0,22,24000307070022
G24000307070023,2092,75,33,79,24000307070023
G24000307080011,2229,78,8,25,24000307080011
G24000307080012,1310,42,31,61,24000307080012
G24000307080041,984,0,0,16,24000307080041
G24000307080042,1913,424,0,62,24000307080042
G24000307080043,1470,469,47,265,24000307080043
G24000307301001,2094,210,0,38,24000307301001
G24000307301002,1782,486,105,124,24000307301002
G24000307301003,3783,563,169,130,24000307301003
G24000307302031,1803,0,61,174,24000307302031
G24000307302032,272,370,16,59,24000307302032
G24000307302033,586,652,66,442,24000307302033
G24000307302034,397,492,127,285,24000307302034
G24000307302041,1389,505,39,56,24000307302041
G24000307302042,1116,1153,223,169,24000307302042
G24000307302043,842,297,12,87,24000307302043
G24000307303001,1638,229,0,297,24000307303001
G24000307303002,1050,51,79,11,24000307303002
G24000307304011,1612,886,68,99,24000307304011
G24000307304012,1688,325,192,323,24000307304012
G24000307304021,870,727,317,94,24000307304021
G24000307304022,1394,289,77,105,24000307304022
G24000307304023,1400,136,14,252,24000307304023
G24000307305021,1203,111,25,1,24000307305021
G24000307305022,756,1134,0,102,24000307305022
G24000307305023,1593,210,282,102,24000307305023
G24000307305041,1158,755,93,199,24000307305041
G24000307305042,1055,1243,101,205,24000307305042
G24000307305043,1614,295,76,162,24000307305043
G24000307305051,1148,1530,299,539,24000307305051
G24000307305052,189,502,134,68,24000307305052
G24000307305061,401,129,19,80,24000307305061
G24000307305062,313,379,239,56,24000307305062
G24000307305063,398,1229,16,244,24000307305063
G24000307306011,1909,0,100,90,24000307306011
G24000307306012,1368,0,0,0,24000307306012
G24000307306013,1198,0,266,364,24000307306013
G24000307306014,1713,0,0,19,24000307306014
G24000307306031,1322,21,0,1,24000307306031
G24000307306032,1282,130,245,0,24000307306032
G24000307306041,2142,0,110,0,24000307306041
G24000307306042,2444,107,35,0,24000307306042
G24000307306043,1753,233,112,27,24000307306043
G24000307307001,1787,28,0,37,24000307307001
G24000307307002,1926,174,11,50,24000307307002
G24000307307003,534,0,0,109,24000307307003
G24000307307004,1890,2,57,22,24000307307004
G24000307307005,539,0,0,0,24000307307005
G24000307308001,2397,3,45,32,24000307308001
G24000307309011,808,0,8,43,24000307309011
G24000307309012,649,230,5,5,24000307309012
G24000307309013,750,15,15,21,24000307309013
G24000307309021,2417,142,34,155,24000307309021
G24000307309022,926,13,15,154,24000307309022
G24000307310021,1856,146,53,102,24000307310021
G24000307310022,798,194,18,43,24000307310022
G24000307310031,801,23,11,162,24000307310031
G24000307310032,1542,33,90,34,24000307310032
G24000307310033,1356,12,0,45,24000307310033
G24000307310041,1115,0,37,119,24000307310041
G24000307310042,2877,88,90,113,24000307310042
G24000307311021,674,0,0,0,24000307311021
G24000307311022,2691,64,66,89,24000307311022
G24000307311023,1863,81,17,66,24000307311023
G24000307311024,1695,27,17,61,24000307311024
