tractID,geographyName,csa,state,county,CoreLogic total sale amount 2012-16,CoreLogic signle family sale amount 2012-16,CoreLogic commercial sale amount 2012-16,CoreLogic industrial sale amount 2012-16,CoreLogic institutional sale amount 2012-16,CoreLogic land sale amount 2012-16,CoreLogic multifamily sale amount 2012-16,CoreLogic parking sale amount 2012-16,CoreLogic unknown sale amount 2012-16,CoreLogic vacant sale amount 2012-16,CoreLogic total loan amount 2012-16,CoreLogic total loan amount  no outliers 2012-16,CoreLogic residential loan amount 2012-16,CoreLogic commercial loan amount 2012-16,CoreLogic mission loan amount 2012-16,CoreLogic mainstream loan amount 2012-16,CoreLogic price per square foot 2012-16,Permit value 2-12-16,(sum) nfmttlvl,Total population ACS 2012-16,Population under 18 ACS 2012-16,Owner occ housing ACS 2012-16,Renter occ housing ACS 2012-16,Population with poverty status determined ACS 2012-16,Population under poverty determined ACS 2012-16,Population under 200% of poverty determined ACS 2012-16,NH white population ACS 2012-16,NH black population ACS 2012-16,Hispanic population ACS 2012-16,Vacant units for rent ACS 2012-16,Vacant units rented not occupied ACS 2012-16,Total rental units ACS 2012-16,Total jobs private sector LED,Total jobs private sector businesses under 20 emply LED,Total CDBG investment,Total HOME investment,Total State school facilities grant investment,Total CIP investment,Multi-family assisted units,LIHTC units,Public housing units,Assisted units total,Dollar amount of small business loans CRA,AvgAnnualAmt,Small business lending per employment in small business,AnnualCRAperEmp,Poverty rate ACS 2012-16,Share white ACS 2012-16,Share black ACS 2012-16,Share Hispanic ACS 2012-16,non-white count ACS 2012-16,Share non-white ACS 2012-16,Flag for poverty rate under 20%,Flag for poverty rate under 25%,Flag for poverty rate under 30%,Flag for poverty rate under 40%,Flag for share  black pop under 50%,Flag for share  black pop under 75%,Flag for share  non-white pop under 60%,Flag for share  non-white pop under 80%,"per $1,000 assessed value 2015",$ loans per owner-occupied housing unit,"$ loans per $1,000 assessed value of commercial real estate",$ per capita under 200% poverty,"$ permits / $1,000 assessed value",Price per square foot,"$ sales / $1,000 assessed value","CIP $/ $1,000 assessed value",HOME and CDBG $ Per person under 200% poverty,# assisted units as % of total rental stock,# assisted per person under 200% poverty,$ per population under 18 years old,aggregate investment $ across sources,aggregate investment $ Per capita,aggregate investment $ per person under 200% poverty
24510040100,"Census Tract 401, Baltimore city, Maryland",Downtown/Seton Hill,Maryland,Baltimore City,542267166.8,,267147577.8,5897095.535,,30000,38277263.25,123816220.3,,107099010,1864942656,920031768.1,47738918.75,872292849.4,2716266.594,917315501.5,56.56737137,664618238.5,2984000900,3868,159,115,2114,3868,1028,1456,1934,551,288,88,124,2326,37696,3381,596004.24,,,72400000,,191,4,195,175150,22602500,40110.91406,6685.152344,0.265770435,0.5,0.142450884,0.074457087,1934,0.5,1,1,,,,0,,,2984001,415121.0313,292.3232422,1865.567749,222.7272186,56.56737137,181.7248535,24.26272583,409.3435669,0.083834909,0.133928567,,1583208960,409309.4375,1087368.75
24510040200,"Census Tract 402, Baltimore city, Maryland",Downtown/Seton Hill,Maryland,Baltimore City,11938685.35,50000,7619070.664,,2489115.438,,1780499.25,,,,54626446.39,54626446.39,44415327.89,10211118.5,0,54626446.39,22.42491913,82065037.27,2193648300,835,23,0,259,348,103,136,361,273,44,21,0,280,9951,300,,,,,,106,,106,4549,673666.6875,13473.33301,2245.555664,0.295977026,0.432335317,0.32694611,0.052694611,474,0.567664683,1,1,,,,0,,,2193648.25,,4.654856682,0,37.41029739,22.42491913,5.442388058,,,0.378571421,0.779411793,,110985008,132916.1719,816066.25
24510060100,"Census Tract 601, Baltimore city, Maryland",Patterson Park North & East,Maryland,Baltimore City,51336023.36,49963116.83,1372906.531,,,,,,,,69167107.16,69167107.16,68292034.41,875072.7539,928972.768,68238134.39,100.0815887,38648999.99,164402800,3009,629,480,482,2996,979,1552,821,1371,692,67,49,598,99,42,175240.35,,,,,,,,1049,161000,,,0.326769024,0.272848129,0.455633104,0.229976743,2188,0.727151871,1,1,1,,,0,1,,164402.7969,142275.0781,5.322736263,598.5649414,235.0872345,100.0815887,312.2575989,,112.91259,,,,188971472,62802.08594,121759.9688
24510060200,"Census Tract 602, Baltimore city, Maryland",Patterson Park North & East,Maryland,Baltimore City,68353340.43,67903340.43,,450000,,,,,,,97865324.33,97865324.33,97415324.33,450000,2886676.615,94978647.72,95.55482483,8763143.862,204052200,3198,757,509,639,3193,757,1367,1415,1215,505,40,0,679,175,48,132211.04,,14110,,,20,,20,1042,173666.6719,,,0.23708111,0.442464054,0.379924953,0.157911196,1783,0.557535946,1,0,,,,0,,,204052.2031,191385.7031,2.205317974,2111.687256,42.9455986,95.55482483,334.9796753,,96.71620178,0.029455081,0.014630578,18.63936615,263781360,82483.22656,192963.6875
24510060300,"Census Tract 603, Baltimore city, Maryland",Patterson Park North & East,Maryland,Baltimore City,50067630.4,48158976.1,541509.5313,,430211.5391,398000.6223,,,,538932.6104,77644799.44,77644799.44,72521618.19,5123181.252,4459337.657,73185461.79,124.1471863,8420890.189,144714400,1944,424,364,419,1938,438,831,718,899,164,25,22,466,126,53,905171.81,,,,,,,,1752,231500,26207.54688,4367.924316,0.226006195,0.369341552,0.462448567,0.084362142,1226,0.630658448,1,0,,,,0,1,,144714.4063,199235.2188,35.40201187,5366.230469,58.18971634,124.1471863,345.9754333,,1089.256104,,,,201140976,103467.5781,242046.9063
24510060400,"Census Tract 604, Baltimore city, Maryland",Oldtown/Middle East,Maryland,Baltimore City,43878645.03,15079875.21,28015118.89,,757842.6563,,25808.27539,,,,77205528.33,77205528.33,67943220.55,9262307.775,1717201.549,75488326.78,105.5618591,273564281.7,1192247900,1295,85,186,510,1286,285,427,312,895,23,0,5,515,13690,99,,,1215625,,150,,,150,356,24000,1454.54541,242.4242401,0.221617416,0.240926638,0.691119671,0.017760618,983,0.759073377,1,0,,,1,0,1,,1192247.875,365286.125,7.768776894,4021.549316,229.4525146,105.5618591,36.80329132,,,0.29126215,0.35128805,14301.4707,190243392,146906.0938,445534.875
24510070100,"Census Tract 701, Baltimore city, Maryland",Madison/East End,Maryland,Baltimore City,3475300.371,3295158.617,180141.7539,,,,,,,,6668188.413,6668188.413,6260237.616,407950.7969,263911.8872,6404276.525,19.07677841,1474786.546,44698200,3180,1043,279,523,3180,1141,2114,65,2688,383,14,0,537,109,27,,,,,,,,,449,74833.33594,,,0.358805031,0.020440252,0.845283031,0.120440252,3115,0.97955972,1,1,1,,1,1,1,1,44698.19922,22438.12695,9.126783371,124.8400574,32.9943161,19.07677841,77.75034332,,,,,,16404175,5158.54541,7759.780273
24510070200,"Census Tract 702, Baltimore city, Maryland",Madison/East End,Maryland,Baltimore City,8522742.247,6876661.787,1606909.48,,39170.98047,,,,,,12133676.47,12133676.47,11516097.67,617578.7949,866999.1593,11266677.31,39.93107605,4824596.046,58641200,3023,852,283,739,3016,1317,1949,22,2780,196,58,0,797,77,37,,,,,,1,,1,761,126833.3359,,,0.436671078,0.007277539,0.919616282,0.064836256,3001,0.992722452,1,1,1,1,1,1,1,1,58641.19922,40692.92578,10.5314827,444.8430786,82.27314758,39.93107605,145.3371124,,,0.001254705,0.000513084,,32173276,10642.83008,16507.58203
24510070300,"Census Tract 703, Baltimore city, Maryland",Madison/East End,Maryland,Baltimore City,4837923.067,4010278.79,631632.2773,,,,170000,,,26012,11198252.26,11198252.26,6271966.413,4926285.846,5397706.582,5800545.677,34.65647125,40538040.24,75618500,793,249,118,158,790,425,568,20,694,79,56,0,214,237,173,246841,,74001,500000,,26,,26,414,69000,2393.063477,398.8439331,0.537974656,0.025220681,0.875157654,0.099621691,773,0.974779308,1,1,1,1,1,1,1,1,75618.5,53152.25781,65.1465683,9503.004883,536.0863037,34.65647125,63.97803497,6.612138748,434.5792236,0.121495329,0.045774646,297.1927795,23129396,29166.95508,40720.76953
24510070400,"Census Tract 704, Baltimore city, Maryland",Oldtown/Middle East,Maryland,Baltimore City,5704860.472,1566824.797,4129896.25,,,,8139.424805,,,,17914254.97,17914254.97,9423734.139,8490520.836,1156395.79,16757859.18,104.3931198,65816725.63,323660500,1343,288,63,591,1343,637,1014,74,1140,15,75,22,688,9614,96,,,,,60,269,,329,309,51500,3218.75,536.458313,0.474311233,0.055100523,0.84884584,0.011169025,1269,0.944899499,1,1,1,1,1,1,1,1,323660.5,149583.0781,26.23279953,1140.42981,203.35112,104.3931198,17.62606239,,,0.478197664,0.324457586,,33043156,24603.98828,32586.93945
24510080101,"Census Tract 801.01, Baltimore city, Maryland",Belair-Edison,Maryland,Baltimore City,23858200.72,22768251.47,607991.4648,,,,47524.75391,15097.84082,,419335.1914,56938160.18,56938160.18,53565824.52,3372335.656,5158210.208,51779949.97,45.08780289,10992671.49,239673700,4080,1249,774,524,4065,597,1563,912,2886,52,46,17,587,289,100,545257.19,,72745,3910000,,,,,1787,297833.3438,17870,2978.333496,0.146863475,0.223529413,0.707352936,0.012745098,3168,0.776470602,,0,,,1,0,1,,239673.7031,69206.49219,14.07052803,3300.198486,45.86515427,45.08780289,99.54450989,16.31384659,348.8529663,,,58.24259567,138892000,34042.15625,88862.44531
24510080102,"Census Tract 801.02, Baltimore city, Maryland",Belair-Edison,Maryland,Baltimore City,16941575.4,3559231.161,6777826.02,221951.1563,,,,225267.0625,,6157300,21056190.11,21056190.11,10923053.34,10133136.77,1127486.548,19928703.56,20.73076057,1178506.693,83354300,2087,590,330,362,2082,579,1176,29,2047,0,35,0,397,419,41,,,,,,2,,2,2663,400833.3438,,,0.278097987,0.013895544,0.980833709,0,2058,0.986104429,1,1,,,1,1,1,1,83354.29688,33100.16016,121.5670624,958.7470703,14.13852406,20.73076057,203.2477722,,,0.005037783,0.00170068,,48923484,23442.01367,41601.60156
24510080200,"Census Tract 802, Baltimore city, Maryland",Clifton-Berea,Maryland,Baltimore City,3544005.992,926290.3208,367769.0391,249946.6318,2000000,,,,,,6750185.943,6750185.943,1620672.287,5129513.656,131748.2049,6618437.738,9.101795197,3629352.365,49526200,1541,324,213,395,1541,375,721,70,1471,0,22,0,417,530,56,,,,,,58,,58,2029,311666.6563,33392.85547,5565.476074,0.243348479,0.04542505,0.954574943,0,1471,0.954574943,1,0,,,1,1,1,1,49526.19922,7608.790039,103.5717239,182.7298279,73.28146362,9.101795197,71.55820465,,,0.139088735,0.080443829,,11916893,7733.220703,16528.28516
24510080301,"Census Tract 803.01, Baltimore city, Maryland",Clifton-Berea,Maryland,Baltimore City,2905357.593,1923598.78,684729.125,297029.6875,,,,,,,9045585.858,9045585.858,8657835.108,387750.75,31802.20313,9013783.655,27.6925621,10610523.35,19612300,1600,378,232,343,1541,355,806,19,1558,0,10,10,363,20,16,,,8530,,,,,,589,98166.66406,,,0.230369896,0.011875,0.973749995,0,1581,0.988125026,1,0,,,1,1,1,1,19612.30078,37318.25391,19.77079391,39.45682907,541.0136719,27.6925621,148.1395569,,,,,22.56613731,20617898,12886.18652,25580.51953
